Q1_A,Q1_B1
Somewhat Opposed,Because I believe the City should be looking at ways to increase potential funding through items that create wealth ie research
Strongly in Favour,it would make a nice change not having to travel 150 km for having twohours of funn.
Neutral or Mixed Feelings,There are both pros and cons.
Strongly Opposed,It changes the city
Somewhat Opposed,Dead space on city streets (large building with no footprint on sidewalks)
Somewhat Opposed,We don't need to give politicians more money. We need to restrict how they spend what we give them now
Strongly Opposed,"Casinos attract nothing but trouble - organized crime, addicted people, prostitution, etc."
Strongly Opposed,It would not contribute in a positive way to the cultural milieu of the city.
Strongly Opposed,Casinos should be left for reserves to operate and employ residents
Strongly Opposed,Have no seen any evidence to support
Strongly Opposed,Gambling has many negative consequences for individuals and for society as a whole. The benefits are comparatively negligible.
Neutral or Mixed Feelings,Increased Revenue
Strongly in Favour,City needs the revenue
Strongly Opposed,Cynical way to increase revenue
Strongly in Favour,downtown Toronto needs casino to continue attract visitors to city
Strongly Opposed,Lack of correct information about the revenue that will come to the city
Somewhat Opposed,We have enough casinos in ON now.
Strongly Opposed,More traffic
Strongly in Favour,bring in tourist
Strongly in Favour,Closer location to play poker
Neutral or Mixed Feelings,
Strongly in Favour,construction jobs
Strongly Opposed,"impact on surrounding existing locally owned businesses-theatres, stores, restaurants and bars"
Strongly Opposed,My mother had a gambling problem which led to her suicide.
Strongly in Favour,More tourism money
Strongly in Favour,creates huge employment opportunity.
Strongly Opposed,Gambling provides an environment for organized crime
Neutral or Mixed Feelings,It would create jobs in the city
Strongly Opposed,Increase in traffic in area of the casino. Downtown already suffers from heavy gridlock inviting more cars will make matters worse.
Strongly Opposed,Casinos drain money from the local economy
Strongly in Favour,toronto needs to have a casino and continuing entertainment inorder to be a world class city
Strongly Opposed,Not in the best interests of a healthy society
Strongly in Favour,
Somewhat in Favour,I believe it would be strongly accepted within the city and bring in a large amount of tourism
Strongly in Favour,will be good for city
Strongly in Favour,Tourism
Strongly in Favour,Casinos will help bring in money for the city
Strongly in Favour,We need the money and jobs
Strongly Opposed,Gambling bring problems
Somewhat Opposed,"While I don't think a casino will ruin the city, I don't think the net effect will be positive."
Strongly in Favour,Great revenue generator.
Strongly Opposed,Easily to go to the casino in Toronto
Strongly Opposed,no overall cost benefit
Strongly in Favour,We need the money and jobs
Somewhat Opposed,Transportation
Strongly in Favour,Great revenue generator.
Strongly Opposed,Use what we have.eg woodbine
Somewhat in Favour,"I would like to see a full casino at Woodbine Racetrack. They have a proven track record, pardon the pun."
Strongly Opposed,Encourages problem gamblers to lose their money
Strongly Opposed,The City and Province should not depend on gambling revenue which is a regressive form of taxation.
Strongly in Favour,Adds jobs and commerce to the city.
Strongly Opposed,the increase crime rates and gambling addictions associated with casinos
Strongly Opposed,gambling takes advantage of the poor
Strongly in Favour,a casino complex will generate jobs and cash that this city/province needs.
Strongly Opposed,Where there is gambling there is crime/substence abuse issues and addiction problems that can arise
Strongly in Favour,It would be good for the local economy
Strongly Opposed,Casinos earn money through unethical means and ruin lives
Strongly in Favour,construction jobs
Somewhat in Favour,
Strongly Opposed,Casino gambling generates roughly $166 in social costs for every $54 of economic benefit
Strongly Opposed,Problem gambling & health issues
Strongly Opposed,"have you even been to Atlantic City or Los Vegas ?    2 cities with no heart,ethics, social life  or positivity other than where is the necy pocket topick"
Strongly in Favour,construction jobs
Somewhat in Favour,Tourism increase
Somewhat in Favour,Good for tourism
Strongly Opposed,.
Strongly Opposed,Casino's are located in 3rd rate municipalities.  Toronto is not 3rd rate.
Somewhat in Favour,economic benefit to city
Somewhat in Favour,"Opportunity for economic development, revenue - tourism, conventions, employment from construction, staff"
Strongly Opposed,I believe that casinos do more harm than good - Surely we can think of healthier ways to generate income
Somewhat in Favour,Gambling is ongoing in the City this at least will be under more control
Strongly Opposed,First hand experience with the horrors of gambling addiction
Strongly Opposed,Casinos create social problems including gambling addiction.
Strongly in Favour,
Strongly Opposed,Problems with addiction
Strongly Opposed,OLG is already lying to us about revenue projections - what else are they lying about? I don't trust them.
Strongly Opposed,Health and Environmental
Strongly Opposed,Gambling is addictive and harmful to many and should not be supported iin any way by our city.
Strongly in Favour,construction jobs
Strongly Opposed,The effects on gamblers and those who will become gamblers and their families (addiction is a severe problem and a source of financial ruin)
Strongly Opposed,
Strongly Opposed,"social damage from casinos, clearly demonstrated by the research on casinos"
Strongly Opposed,It will destroy the downtown
Strongly in Favour,It would be good for the local economy
Somewhat Opposed,Casinos increase gambling problems
Neutral or Mixed Feelings,"I believe Woodbine Racetrack working well, as is."
Strongly in Favour,creates jobs
Somewhat in Favour,
Strongly Opposed,Bad for smaller buisnesses
Strongly Opposed,Gambling hurts people and their families
Strongly in Favour,World class citys have a casino.
Strongly Opposed,Completely uneccessary...casinos are fine where they are
Strongly Opposed,promoting gambling addiction
Strongly Opposed,"Mnimal  evidence-based research outside of the casinos themselves  that TO. residents would benefit from it , aside from some employment, generally at minimum wage and not terribly secure.  Based on reading comments  from users in other cities,  casinos  are likely to attract more traffic and  at-risk folks who want a warm bathroom and free coffee, ie.e, another place for the homeless.  So what do they use-bouncers for those who don't look right entering?"
Strongly Opposed,Gambling is a social ill.
Strongly Opposed,Economic considerations
Strongly Opposed,If located in C1 there will be a major impact on the roadways leading into the downtown area
Somewhat Opposed,Concern that an unfair amount of revenues/profits from the casino (above and beyond income + property taxes) would not be recycled through the city to cover intangible costs (ie: mental health effects).
Strongly Opposed,more traffic
Strongly in Favour,"Consistent with other world-class cities (e.g., London, Paris, New York, Chicago, etc)"
Strongly in Favour,"Major Economic Boost (jobs, tourism, tax revenue, etc)"
Strongly in Favour,Gambling is properly managed elsewhere in Ontario and is not a public security risk
Strongly in Favour,It would be good for the local economy
Strongly in Favour,more jobs
Strongly in Favour,Tourism
Somewhat Opposed,The benefits of yet another single purpose large-footprint building downtown is suspect given the lack of diversity it's likely to offer
Strongly Opposed,Close family member is a gambling addict.
Strongly Opposed,Social problems and estimates of revenue suspicious
Strongly in Favour,Revenue Potential
Strongly Opposed,Preventing addictive gambling
Strongly in Favour,jobs!!
Strongly in Favour,Job Creation
Strongly in Favour,Toronto is a cosmopolitan city and a Casino is just another reason for tourists to come visit and spend their money.
Strongly Opposed,The City and Province should not depend on gambling revenue which is a regressive form of taxation.
Strongly Opposed,Depressing way to raise revenues
Strongly Opposed,Other cities with casinos have not experienced the positive impacts they initially projected
Strongly in Favour,more job created
Somewhat Opposed,Don't see much value
Strongly Opposed,Negative impact on neighbourhoods
Strongly in Favour,I would rather have the revenue than see services in Toronto continue to deteriorate.
Strongly in Favour,tourism
Strongly Opposed,I do not like to encourage gambling because of the devestating impact on lives affected.
Strongly Opposed,Regressive tax
Strongly Opposed,crime
Somewhat in Favour,source of revenue
Strongly Opposed,Morally dangerous for society.
Strongly Opposed,Worried about the negative social impact on the middle and lower class that will actively use the casino.
Strongly Opposed,The many problems that will arise around gambling addictions. Many families will be affected and some destroyed
Strongly Opposed,"Revenue derived from, and dependent on, the financial loss of citizens (tourists and locals)"
Strongly Opposed,"Not an efficient form of tax revenue. Will hurt local economy as it has done in other cities, Atlantic City for one."
Strongly in Favour,Added revenue for the city
Strongly Opposed,World class cities do not need to rely on a casino -- and the attendent problems of one -- for incremental revenue.
Strongly Opposed,Gambling is an addiction
Strongly in Favour,watching bus loads of Toronto mondey going down the highways to other cities
Strongly Opposed,Completely uneccessary...casinos are fine where they are
Somewhat Opposed,Congestion & decay of surrounding businesses
Somewhat Opposed,It is a tax on the poor
Strongly Opposed,
Neutral or Mixed Feelings,"There is no guarentee for the total plan, will there be one casino in Toronto, who will be the target group for casino use"
Strongly Opposed,"More gambling, more crimes"
Strongly Opposed,Negative environment created by a casino
Somewhat Opposed,It will not bring any financial benefit to the city. Casinos strongly urge their clients to stay inside and gamble.
Strongly in Favour,"New world-class center with mall, restaurant, etc."
Strongly in Favour,Tourism revenue
Strongly Opposed,
Somewhat in Favour,It's a voluntary way to generate much needed revenue for the city
Strongly in Favour,Creating new jobs
Strongly in Favour,employment opportunities
Strongly Opposed,Bad for university students in area
Strongly Opposed,Crime
Somewhat in Favour,I am in favour of venues/activities that will draw visitors to Toronto.
Strongly Opposed,Woodbine is an excellent spot for the casino. They already are doing an excellent job making tonnes of money for the government. Why change it?
Strongly Opposed,I do not like to encourage gambling because of the devestating impact on lives affected.
Somewhat in Favour,
Strongly Opposed,destroy neighbourhoods if near residential areas
Strongly Opposed,Negative environment created by a casino
Strongly Opposed,Gambling is a zero sum revenue - every dollar earned by the city will be some family's loss.
Somewhat Opposed,Social costs outweigh financial benefits
Strongly Opposed,"Will not result in economic development, but rather cost Toronto citizens (even if brings in revenue, will not make up for the social costs and financial loss to other entertainment venues in city)"
Strongly in Favour,More jobs
Strongly in Favour,"Bring some exciting activities to the city, more shows, events,  activities."
Strongly Opposed,will increase traffic problems.  TO is already a grid lock
Somewhat Opposed,Casino gambling is a problem for society and not the best way for governments to increase revenue
Strongly in Favour,Good for business
Strongly in Favour,"Bring some exciting activities to the city, more shows, events,  activities."
Strongly Opposed,Job loss
Strongly in Favour,"Increase city revenue needed for projects and infrastructure, like public transportation and neighborhood revitalization"
Strongly Opposed,gambling addicition and woes
Strongly in Favour,Economic benefit
Strongly Opposed,Casino people spend money within  a casino and do not  increase business around it.
Strongly Opposed,Casinos promote unhealthy communities and poverty through addiction
Somewhat in Favour,
Strongly Opposed,It will kill racing in Ontario
Strongly Opposed,I don't believe the economic benefits are as great as claimed
Strongly Opposed,Gambling is a good way for casinos to steal all of your money.
Somewhat in Favour,We are a big city. Why let Orillia receive all the revenue. The addicts will get addicted anyway.
Strongly Opposed,I believe that casinos provide a strong negative opportunity in the lives of some members of our community and serve no useful social function
Strongly in Favour,casino  IN  toronto
Somewhat Opposed,I think that the business it brings in will be directly negated by the loss of other businesses in the surrounding area due to the draw of the casino.
Somewhat in Favour,jobs
Strongly in Favour,More jobs in the city
Strongly Opposed,Raising city revenue by taking advantage of individuals with gambling addictions is morally wrong.
Strongly in Favour,Permanent job creation
Strongly Opposed,Impact on current local small business
Somewhat in Favour,Growth/development
Strongly Opposed,Attracts the wrong people into the city
Strongly Opposed,"several casinos are accessible to Toronto residents/visitors - Niagara Falls, Casino Rama, with free buses to get there"
Strongly Opposed,Casinos contribute to gambling addiction
Strongly Opposed,Community Impact; social impacts of gambling
Strongly Opposed,enough gaming now
Somewhat in Favour,Extra revenue
Strongly Opposed,Increased traffic
Somewhat Opposed,Casino gambling is a problem for society and not the best way for governments to increase revenue
Strongly Opposed,The benefits will be to only a few people and at the expense of business owners.
Strongly Opposed,not good for neighbourhoods
Strongly in Favour,economic
Strongly in Favour,Makes people happy
Somewhat Opposed,
Strongly Opposed,I don't believe the economic benefits are as great as claimed
Strongly in Favour,Better than having to drive far away
Strongly Opposed,If the city needs money it should tax directly
Strongly Opposed,loaction would either ruin what could be nice green space or cause traffic and crowding problems downtown
Strongly Opposed,Atlantic City and Vegas are decaying and dying as cities.
Strongly in Favour,I enjoy casinos
Strongly Opposed,I don't believe the economic benefits are as great as claimed
Strongly Opposed,Transit is a higher priority
Strongly in Favour,Amazing tourism opportunity for Toronto
Strongly Opposed,It's too easy to access for those with gambling addictions
Strongly Opposed,Casinos are socially damaging for the community.
Strongly Opposed,Building a casino during/after world financial projects Toronto as a negative role model to its citizens and to its potential visitors.
Strongly Opposed,I don't want to support gambling
Somewhat Opposed,No positive economic stimulus
Strongly Opposed,Problem gambling
Strongly Opposed,increase in gambling
Strongly Opposed,Gambling unfairly takes advantage of those without resources
Somewhat in Favour,New recreation opportunity
Strongly Opposed,no net beneft for city
Strongly Opposed,Gambling is not a progressive way of redistributing wealth -- it has harmful effects on problem gamblers and their families.
Strongly Opposed,encourages gambling and will increase number of victims of gambling addiction due to ease of accessibility
Strongly in Favour,Revenue
Strongly in Favour,The city needs the money that the casino would generate
Strongly Opposed,A Casino is an inefficient way of bringing in additional reveune to both the Province and the City.
Strongly Opposed,Brings crime and pain to the area
Strongly in Favour,The city needs more entertainment options
Strongly Opposed,Casinos suck the street life of surrounding Areas.
Strongly Opposed,Traffic
Strongly Opposed,large scale gambling is not something that I think should be encouraged - there are more negative impacts than genuine benefits
Strongly Opposed,encourages crime due to incurring debt
Somewhat in Favour,Additional city revenues hopefully
Strongly Opposed,The social costs for the people of Toronto will be too high.
Somewhat in Favour,Job creation
Strongly Opposed,It promotes a wasteful lifestyle
Strongly Opposed,no net benefit for city
Strongly in Favour,Brings money to the city coffers
Strongly Opposed,Providing easy access to an addictive and family destroying activity
Strongly Opposed,It encourages gambling addiction
Strongly Opposed,"A Casino is likely to increase problem gambling in Ontairo/Toronto, as well as a number of other social problems."
Strongly Opposed,Exploits those who are poor.
Somewhat in Favour,
Strongly Opposed,
Somewhat in Favour,Entertainment value
Strongly Opposed,crime
Strongly Opposed,Gambling is a tax on the poor
Strongly Opposed,*
Strongly Opposed,
Strongly in Favour,"Good for the local economy (people go to the casinos already, just a long drive to Niagara or Rama)"
Somewhat in Favour,more $ to build subway
Strongly Opposed,The tourists that a casino would attract are not ones I would like to interact with.
Strongly Opposed,"Social costs (addiction, homelessness, criminal activity) of casinos outweigh revenue to state"
Strongly in Favour,Recreation
Strongly Opposed,
Strongly Opposed,The negative development along with casino
Strongly in Favour,Would greatly improve the downtown core without costing taxpayers anything
Strongly Opposed,Social issues/costs
Strongly in Favour,"Casinos exist in this province. Given that reality, it seems foolish to require Torontonians to drive or bus to Rama or Niagra Falls."
Strongly in Favour,Additional economy will be generated for the city and its citizens
Strongly in Favour,Attract more tourists. Visitors will stay longer in the city.
Somewhat Opposed,It's not going to bring in the revenue you think it will.
Strongly Opposed,that part of the waterfront should remain open and public
Somewhat in Favour,"Ideal location a major factor to the success of a casino proposal (eg. Off a highway, public transit hub)"
Strongly in Favour,Will bring money to the city
Strongly in Favour,Should not be an issue given there is already a casino complex in Toronto.
Strongly Opposed,will hurt local business
Neutral or Mixed Feelings,We live in the west end and Woodbine serves our needs fine
Somewhat in Favour,I see it as a way to increase tourism
Strongly Opposed,Social costs to individuals and families
Strongly Opposed,Casinos are inwardly focused businesses that do very little grow the regional economy
Strongly Opposed,Dangerous place for people to lose all their money
Strongly Opposed,
Strongly in Favour,"Will serve as a primary tourist attraction in the city, creating jobs, new taxation revenue, and spin off opportunities."
Strongly Opposed,"It would attract drugs, wrong kind of crowd"
Somewhat in Favour,Something fun to do
Strongly Opposed,"Not appropriate to the kind of tourist visiting , does not fit in with existing tourist scene."
Strongly Opposed,SOCIAL AND ECONOMIC COSTS to the City of Toronto
Strongly Opposed,
Strongly in Favour,Toronto is one of the few world class cities that does not have a casino
Strongly Opposed,Problem Gambling
Somewhat in Favour,I support the additional revenue
Strongly Opposed,do not want tax breaks or tax dollars going to support gambling
Strongly Opposed,no benefit to the city
Strongly in Favour,"The additional revenues are neccessary to deal with issues such as expansion of TTC, addressing safetly concerns on the Gardiner etc."
Strongly Opposed,i do not supoort gambling
Neutral or Mixed Feelings,Not sure if this is what the city needs to stimulate revenue
Somewhat Opposed,Fear of social impacts:  increase in gaming addictions leading to crime
Strongly in Favour,The large greenspace proposed
Strongly Opposed,Negative Social Costs
Somewhat Opposed,we have alredy a casino in T.O.
Somewhat in Favour,The casino may bring a new source of income into the city that would help lower taxes and public transit expenses
Strongly Opposed,It will kill local business
Strongly in Favour,Want a Job at the Casino
Strongly in Favour,Its good for the economy
Strongly in Favour,Toronto is a City that is world reknown
Somewhat Opposed,Casinos/gambling destroys lives.
Strongly Opposed,The added income is not worth the adverse social effects of casinos.
Strongly in Favour,An International city needs to encourage downtown visitors and torontonians not wanting a bar or a theatre for entertainment
Strongly in Favour,Will create more jobs
Neutral or Mixed Feelings,Increases in gambling adiction
Somewhat in Favour,good for tourism
Strongly Opposed,Effects on small business: [weblink]
Strongly Opposed,The damage gambling causes to families
Somewhat in Favour,Location
Neutral or Mixed Feelings,I would not use the casino
Strongly Opposed,"Gambling is highly addictive and, once addicted, highly destructive."
Strongly Opposed,"Although the OLG is a large money maker for the province, I don't think it should be on the backs of people who can become addicted to gambling. The city's list of concerns clearly state that problems exist with gambling and gamblers."
Strongly Opposed,Potential for gambling abuse
Strongly Opposed,Casino's create profit for private interest over public.
Somewhat in Favour,
Strongly Opposed,"We don't need a casino, we already have the Woodbine Racetrack"
Strongly in Favour,Job creation
Strongly Opposed,Casinos are not the correct image for Toronto
Somewhat Opposed,Think it is a poor use of land
Strongly Opposed,Obscene 'voluntary' taxation scheme
Strongly Opposed,"Casinos are a negative force in society, creating no financial benefit and potentially devastating losess for individuals and families."
Strongly Opposed,Increase in problem gambling rates
Strongly Opposed,will  not bring the financial gains promoters are projecting
Strongly Opposed,"Redirects money from local businesses to the casino, which does not reinvest constructively in the community to the same per-dollar degree of that same money going through local business, if it gets reinvested in the community at all"
Somewhat in Favour,Improve the international profile of Toronto
Strongly in Favour,
Neutral or Mixed Feelings,Those that can least support it.
Strongly Opposed,It will not benefit the city
Strongly Opposed,promotes gambling addiction
Strongly Opposed,Gambling is not a healthy occupation.  Governments should not support it.  Brings crime and negativity
Strongly Opposed,Causes gambling addictions
Strongly in Favour,Casinos add jobs and entertainment
Somewhat in Favour,Revenue
Strongly Opposed,Gambling hurts the innocent - the families of those who gamble and lose.
Strongly Opposed,Encourages problem gamblers to give in to their addiction
Somewhat Opposed,Think it is a poor use of land
Somewhat Opposed,Think it is a poor use of land
Strongly Opposed,Create Crime
Strongly Opposed,"I would rather use land to have family friendly activities, parks"
Strongly in Favour,Infrastructure development
Strongly in Favour,I think Toronto is a great location for a Casino
Strongly Opposed,"Social costs of casinos, probelm gambling"
Strongly in Favour,New Jobs
Somewhat in Favour,Increase property values
Strongly Opposed,short sighted idea
Strongly Opposed,It will not benefit the city
Strongly Opposed,Casinos do more harm to the health of our city and its citizens
Strongly Opposed,
Strongly in Favour,
Strongly in Favour,It would add an additional great vibrance to the downtown core.
Strongly Opposed,Live and work on the waterfront and feel additional traffic/gambling problems are unlikely to improve quality of life here
Somewhat in Favour,
Somewhat in Favour,would love to spend more time in TO
Somewhat Opposed,Think it is a poor use of land
Strongly Opposed,Live and work on the waterfront and feel additional traffic/gambling problems are unlikely to improve quality of life here
Strongly in Favour,Provide full year tourism attraction to the downtown core
Strongly Opposed,We have enough lottery intrusion in our province. There is a slick group of backroom boys trying to promote this.
Strongly in Favour,help economy
Strongly Opposed,Morally disagree with gambling houses
Strongly Opposed,I have seen the problems a gambling addiction causes to people and their families
Strongly in Favour,Jobs
Strongly in Favour,entertaining attraction
Somewhat in Favour,Firstly i like to go to the casino...and niagara falls is quite the distance
Strongly Opposed,Inappropriate in downtown Toronto
Strongly Opposed,Preys on the people who can least afford to gamble.
Strongly Opposed,We don't need another casino
Strongly Opposed,it sucks money out of peoplr
Strongly Opposed,social ills attached to problem gambling
Strongly Opposed,We have enough sources of alternative entertainment in the city
Somewhat Opposed,Don't know much about the whole thing.
Strongly Opposed,"A casino does not belong or needed in downtown Toronto. Major downtown developments should benefit the entire population, not just of-age gamblers."
Strongly Opposed,We are not Las Vegas!
Strongly in Favour,jobs
Strongly Opposed,
Strongly Opposed,will attract large crowds and will create parking problems in a city that is about to choke transit-wise
Strongly Opposed,there are enough options for gambling around the city and whatever money goes to the province will be taken away by a new Toronto casino...won't solve any taxpayer issues
Strongly in Favour,Tourism
Strongly Opposed,Don't believe in government endorsing gambling
Strongly Opposed,"Infrastructure not efficient to support increased volume of people, traffic"
Strongly in Favour,More contruction jobs
Strongly in Favour,It has the potential to bring additional revenue to the City
Strongly Opposed,Absolutely no need for another Casino
Strongly Opposed,Casino's take away from local businesses.
Strongly Opposed,increased gambling addictions
Strongly Opposed,"Gambling ruins families, especially ones that are in desperate financial straights."
Somewhat Opposed,I won`t ever use the casino.
Strongly in Favour,Draw visitors to the City
Somewhat in Favour,"I don't gamble; however, often means interesting entertainment acts come to the City which might interest me"
Strongly in Favour,Jobs
Strongly in Favour,To create additional revenue for the city
Strongly in Favour,Employment
Strongly Opposed,Casinos unfairly tax people who think they'll strike it rich
Neutral or Mixed Feelings,Depends on location
Strongly in Favour,
Strongly in Favour,jobs
Strongly in Favour,"Becouse we need more convention space in this City, the space we have is the joke of most of the other North American city's."
Strongly in Favour,Economic benefit
Strongly Opposed,"A casino may harm and/or close the existing theatres, restaurants and galleries."
Strongly Opposed,Negative social effects
Strongly Opposed,Us company ownership
Somewhat in Favour,It would bring new jobs
Strongly in Favour,Tax the crap out of it
Strongly Opposed,Glorifies gambling and encourages gambling addiction
Somewhat Opposed,draw economy away from niagara
Strongly in Favour,helps toronto's economy
Strongly in Favour,Brings money to the city
Strongly Opposed,When you see the casino in Niagara the business around them aren't thriving.    People only go to the Casino they don't visit surrounding business
Strongly in Favour,revenue from casino funding city projects like transportation and rejuvenation
Strongly Opposed,*
Strongly Opposed,Decades and mountains of scientific research indicating that the social and economic costs outweigh the benefits.
Neutral or Mixed Feelings,"The amount of money received seems low, little benefit to the overall budgetary situation of the city."
Strongly Opposed,"Detrimental to local, downtown businesses"
Strongly in Favour,The revenue it would generate for the city
Strongly in Favour,Money
Strongly Opposed,money will never be seen by public
Strongly Opposed,Debauchery Influence
Strongly Opposed,"Biloxi, Mississippi opened casinos, and now they have pawn shops on every corner, so please can get money to play at casinos"
Somewhat in Favour,Could be a great tourist draw
Strongly Opposed,Casino's take away from local businesses.
Strongly in Favour,INCREASED BUSINESS IN THE AREA
Strongly in Favour,employment
Strongly Opposed,Crime
Strongly Opposed,"for starters, I prefer to gamble outside the city"
Strongly Opposed,Do not want Toronto to be home to a Casino and destroy Niagara Falls.
Somewhat in Favour,concerns about too many people becoming addicted &/or people losing family savings
Somewhat Opposed,Concerns about crime levels rising (and policing costs/resources associated with this)
Strongly Opposed,"I am concerned that social costs will exceed government revenues, or that those revenues will not be fully applied social costs"
Strongly in Favour,employment
Somewhat in Favour,"Many cities have casino facilities which are highly successful and can add a positive vibe to the overall city. However, I think it essential that the location of the casino be carefully considered."
Strongly in Favour,
Strongly in Favour,AMAZING
Somewhat in Favour,increased tax revenue
Neutral or Mixed Feelings,
Strongly Opposed,bad for the cities image.
Somewhat Opposed,extensive literature on casino's negative social impacts on other host Cities
Somewhat in Favour,"Many cities have casino facilities which are highly successful and can add a positive vibe to the overall city. However, I think it essential that the location of the casino be carefully considered."
Strongly Opposed,Casinos cause social problems.
Strongly Opposed,"This kind of activity is encouraging addictive behavior from over drinking, drugging, use of prostitutions that goes along with gamnoling. I want my city to promote health not illness."
Strongly Opposed,preying on a compulsive disorder
Somewhat Opposed,I don't think they are job creators; profit goes elsewhere
Strongly Opposed,Evidence based study by Toronto's Medical Officer of Health.
Strongly Opposed,Gambling is an addition an easy access can only create more gambling problems
Strongly in Favour,Boost to tourism
Strongly in Favour,It would be very Convenient
Strongly in Favour,bring in money to the city
Strongly Opposed,Gambling hurts families and neighbourhoods
Strongly Opposed,Enough Casinos exist for this ultimate time wasting activity
Somewhat Opposed,An urban casino will cause negative impact on local small businesses and create urban decay
Strongly in Favour,I think people have a right to spend thier money however they see fit
Strongly in Favour,TO is a second class city Casino will add little more value to the city.
Strongly Opposed,Bad image for the city.
Strongly Opposed,
Strongly in Favour,Driving to Niagra or Rama for Table Gaming is a hassle
Strongly in Favour,A casino will increase tourism to the city
Neutral or Mixed Feelings,Casinos are of little economic benifit to a city which already has such a vibrate and diverse nightlife. Toronto should not try to be the Atlantic city of Cananda
Strongly Opposed,Gambling creates social problems
Strongly in Favour,Toronto is a cosmopolitan city and this would help its image in the world
Strongly Opposed,High social costs of having a casino in Toronto.
Strongly Opposed,Money better spent elsewhere
Strongly Opposed,"The financial benefits are temporary, the building development, staffing, early popularity, but then the benefits level off"
Somewhat Opposed,"Unless the host city is a ""gaming town"", these casinos become black holes in a city"
Strongly Opposed,Casinos main profit comes from impoverishing those with gambling problems
Somewhat in Favour,"Many cities have casino facilities which are highly successful and can add a positive vibe to the overall city. However, I think it essential that the location of the casino be carefully considered."
Strongly in Favour,Jobs
Strongly in Favour,Hoping to bring major sporting and concert events and special events with celebrities with a new casino in Toronto.
Strongly Opposed,"Casinos, and gambling generally, by offering false hope, prey on people who cannot afford to gamble."
Somewhat in Favour,"Many cities have casino facilities which are highly successful and can add a positive vibe to the overall city. However, I think it essential that the location of the casino be carefully considered."
Strongly in Favour,Benefit Toronto Economy
Strongly Opposed,Reverse taxation - encourages gambling by those who can least afford it
Strongly in Favour,Fun
Strongly Opposed,Lacks strategic vision for a great city
Strongly Opposed,type of business - cassinos survive by exploring weakness and addictions of the people...
Strongly in Favour,It privudes jobs and entertainment
Strongly Opposed,A casino would have dreadful social consequences for the city of Toronto
Strongly in Favour,Increased local revenue
Strongly Opposed,As a form of entertainment or tourist atraction we should promote cultural events and venues
Strongly Opposed,A casino would be bad for the local economy
Strongly in Favour,revenue for the city
Neutral or Mixed Feelings,Don't care as long as my taxes don't go up
Strongly Opposed,Most of the public cash benefits accrue to the Province
Strongly Opposed,"it encourages homelessness, and crime"
Strongly Opposed,encourages gambling addiction
Strongly Opposed,"Transfers funds from those who can least afford it to wealthy, out of country owners.  Has detrimental affect on local buisness"
Strongly Opposed,Likely will encourage drug use and bring crime to the area
Neutral or Mixed Feelings,"I think mainly poor people use this type of entertainment, a kind of tax for poor people."
Strongly Opposed,"Toronto needs to develope it's image as a classy, hip, and beautiful city. Casino's are tacky and hideous!"
Strongly Opposed,Casinos attract a brand of tourist Toronto is unused to and does not desire
Neutral or Mixed Feelings,
Strongly Opposed,The only party who will benefit from a casino are the owners.
Somewhat Opposed,
Strongly Opposed,Not sufficient roads or transit for any of the options
Strongly Opposed,Encouraging an addiction is never a good thing or do you think it is???
Strongly Opposed,Destroying horse racing
Strongly in Favour,It will make Toronto a greater destination for tourists
Strongly Opposed,We don't need one
Strongly in Favour,Revenue for the city
Strongly Opposed,It destroys families because gamblers end up losing money
Strongly Opposed,The downtown core needs vitalizing and green space to project a modern look to the city.
Somewhat in Favour,job creation
Strongly in Favour,"Most people like to go to a city, Province or state where there is a Casino within 1/2hr of travel from their accomodation"
Strongly Opposed,Does not support small business
Somewhat in Favour,"Many cities have casino facilities which are highly successful and can add a positive vibe to the overall city. However, I think it essential that the location of the casino be carefully considered."
Strongly Opposed,Public health
Strongly Opposed,Encourages more gambling in the society
Strongly in Favour,Bring much needed revenue
Somewhat in Favour,Tourism dollars
Strongly Opposed,exacerbates social problems
Strongly Opposed,They casinos they have now loose money
Strongly Opposed,"Casinos can create or make worse gambling addictions which can ruin lives and families (e.g. severe debt, bankruptcy, divorce, suicide, etc.)"
Somewhat in Favour,Will hopefully lead to improved downtown funding for transit
Neutral or Mixed Feelings,Not enough information publicized
Strongly Opposed,Revenue loss of
Strongly Opposed,Casinos are terrible for the health of the public
Strongly Opposed,Social repercussions.
Strongly Opposed,Potentially wrecking the neighborhood it’s in and further alienating residents
Strongly Opposed,gambling is a tax on the poor and does little to improve the lives of the residents
Strongly Opposed,Casinos are internally focused and contribute nothing to surrounding area
Somewhat Opposed,"I think a casino may create more problems (health, traffic, crime) than Toronto needs and cost more than predicted"
Neutral or Mixed Feelings,more mental health centres will be needed due to addiction
Somewhat Opposed,money spent on other forms of entertainment in the city will be diverted to gambling
Strongly in Favour,Will give Toronto an attraction that is sorely needed.
Strongly in Favour,Financial-Taxes gained for the city
Strongly Opposed,A casino would threaten the quality of life in Toronto.  The whole area in which it might be located would be significantly changed.
Strongly Opposed,"This is obviously a cash grab for Ford and his cronies, everyone knows casinos are a trashy black hole of lower-middle-class funds."
Strongly Opposed,already have enough with the program they had with the racetracks - should leave that alone
Strongly Opposed,Attracts people who do not appreciate how great Toronto is
Strongly Opposed,"Wrecks retail, hospitality outlets in nearby neighbourhoods; & traffic already in gridlock near major sports and entertainment venues."
